1,1,Anantapur,1,,,0,9/9/2018 17:25,9/9/2018 17:25
2,1,Chittoor,1,,,0,9/9/2018 17:25,9/9/2018 17:25
3,1,Cuddapah / Kadapa,1,,,0,9/9/2018 17:25,9/9/2018 17:25
4,1,Godavari,1,,,0,9/9/2018 17:25,9/9/2018 17:25
5,1,Guntur,1,,,0,9/9/2018 17:25,9/9/2018 17:25
6,1,Hyderabad,1,,,0,9/9/2018 17:25,9/9/2018 17:25
7,1,Krishna,1,,,0,9/9/2018 17:25,9/9/2018 17:25
8,1,Kurnool,1,,,0,9/9/2018 17:25,9/9/2018 17:25
9,1,Nellore,1,,,0,9/9/2018 17:25,9/9/2018 17:25
10,1,Prakasam,1,,,0,9/9/2018 17:25,9/9/2018 17:25
11,1,Srikakulam,1,,,0,9/9/2018 17:25,9/9/2018 17:25
12,1,Visakhapatnam,1,,,0,9/9/2018 17:25,9/9/2018 17:25
13,1,Vizianagaram,1,,,0,9/9/2018 17:25,9/9/2018 17:25
14,2,Car Nicobar,1,,,0,9/9/2018 17:25,9/9/2018 17:25
15,2,Port Blair,1,,,0,9/9/2018 17:25,9/9/2018 17:25
16,3,Along,1,,,0,9/9/2018 17:25,9/9/2018 17:25
17,3,Anini,1,,,0,9/9/2018 17:25,9/9/2018 17:25
18,3,Bomdila,1,,,0,9/9/2018 17:25,9/9/2018 17:25
19,3,Changlang,1,,,0,9/9/2018 17:25,9/9/2018 17:25
20,3,Daporijo,1,,,0,9/9/2018 17:25,9/9/2018 17:25
21,3,Itanagar,1,,,0,9/9/2018 17:25,9/9/2018 17:25
22,3,Khonsa,1,,,0,9/9/2018 17:25,9/9/2018 17:25
23,3,Laying-Yangte,1,,,0,9/9/2018 17:25,9/9/2018 17:25
24,3,Pasighat,1,,,0,9/9/2018 17:25,9/9/2018 17:25
25,3,Seppa,1,,,0,9/9/2018 17:25,9/9/2018 17:25
26,3,Tawang,1,,,0,9/9/2018 17:25,9/9/2018 17:25
27,3,Tezu,1,,,0,9/9/2018 17:25,9/9/2018 17:25
